ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-09-026394	1464782	Common Stock				613694.0				I	F2	By Trusts	
0001127602-09-026390	1314433	Common Stock				1961.31				I		401(k) Plan	F3
0001204975-09-000035	1339997	USLM Common Stock				6845.0				I		Held in 401(k) Plan	
0001127602-09-026381	1368929	Common Stock				72.18				I		401(k) Plan	F2
0001427152-09-000449	1267127	Common Stock				21368.0				I		by Trust	
0001047122-09-000168	1272037	Common Stock				86.0	F2			I		401(k)	
0001209191-09-059212	1343226	Common Stock	F1			78561.0				I		By spouse	
0001209191-09-059212	1343225	Common Stock	F1			16500.0				I		As UGMA custodian for daughter	
0001209191-09-059210	1243036	Common Stock	F1			16500.0				I		By spouse as UGMA custodian for daughter	
0001209191-09-059210	1243037	Common Stock	F1			78561.0				D			
0001193956-09-000002	1392873	Common Stock $.01 Par Value				19340.0				I		401(k) Plan	F2
0001193956-09-000002	1392874	Common Stock $.01 Par Value				9516.0				I		IRA Rollover	
0001179110-09-017640	1483939	Common Stock				3840.0				D		By ESOP	
0001179110-09-017640	1483942	Common Stock				13364.0				I			
0001179110-09-017640	1483941	Common Stock				10861.0				I			
0001179110-09-017640	1483940	Common Stock				3074.0				D			
0001179110-09-017640	1483938	Common Stock				146490.0				D		By 401(k)	
0001193805-09-002604	1327930	Common Stock, $.10 par value				57292.0				D	F2, F4		
0001209191-09-059208	1457595	Common Stock, par value $.01				120.3				I		401K	
0001209191-09-059208	1457596	Common Stock, par value $.01				8333.0				I		by Trust	
0001209191-09-059206	1220096	Common Stock, par value $.01				527.89				I		by 401K Plan	
0001209191-09-059204	1251226	Common Stock, par value $.01				866.46				I		401-k	
0000904896-09-000090	1293755	common stock, par value $0.01				600.0				I		by self as custodian for child	
0001209191-09-059201	1311792	Common Stock, par value $.01				1201.88				I		by 401K Plan	
0001181431-09-059398	1445842	Common Stock				30420.0				I		Shares held by immediate family	
0001209191-09-059198	1397689	Common Stock, par value $.01				1201.89				I		401-K	
0001127602-09-026375	1422407	Common Stock				13639.86				I			
0001127602-09-026375	1422404	Common Stock				72283.47				D		By Family Partnership	
0001127602-09-026375	1422406	Common Stock				2331.68				I		By Trust	
0001127602-09-026375	1422405	Common Stock				8415.0				I		By PS and 401(k)	
0001127602-09-026373	1320250	Common Stock				201.48				I		By 401(k) And Profit Sharing	
0000874015-09-000068	1339044	Common Stock				1985.0				D			
0001209191-09-059195	1251414	Class B Common Stock, $.0001 par value				4336216.0				I	F3, F2, F4	By Hampstead Associates, L.L.C.	
0001209191-09-059195	1251415	Class B Common Stock, $.0001 par value				11579.0				I	F3, F2, F4		
0001209191-09-059195	1251413	Class B Common Stock, $.0001 par value				796335.0				D		By ET Holdings, LLC	
0001209191-09-059194	1215570	Class B Common Stock, $.0001 par value				4336216.0				I	F3, F2, F4	By Hampstead Associates, L.L.C.	
0001209191-09-059194	1215571	Class B Common Stock, $.0001 par value				11579.0				I	F3, F2, F4		
0001209191-09-059194	1215569	Class B Common Stock, $.0001 par value				5039937.0				D		By ET Holdings, LLC	
0001229146-09-000026	1283190	Series A preferred stock				3600.0				D			
0001229146-09-000026	1283188	Common stock				48560.0				D		Custodian for son	
0001229146-09-000026	1283189	Common stock				316.0				I			
0001209191-09-059192	1348387	Common Stock, par value $.001				13399.0	F4			D			
0001140361-09-030695	1393997	Class A Common Shares of Beneficial Interest	F3			7000.0	F3			I		By spouse	
0001127602-09-026371	1385369	Common Stock				258.0				I		By 401(k)	F1
0001127602-09-026370	1231884	Common Stock				12988.0				I		By: Spouse	
0001127602-09-026370	1231885	Class A Common Stock				4724583.0				D			
0001200876-09-000103	1379164	Common Stock				2267963.0	F4			D		By: R & R Consulting Partners	F6
0001200876-09-000103	1379165	Common Stock				1918519.0	F5			D			
0001200876-09-000103	1379166	Common Stock				5355556.0				I			
0001209191-09-059188	1216037	Common Stock				67000.0				D			
0001225208-09-025204	1283924	Common Stock				337839.0				I		Family Limited Partnership	
0001225208-09-025204	1283923	Common Stock				12431.0				I		401(k)	
0001225208-09-025202	1483458	Common Stock				24318.0				I			
0001225208-09-025202	1483457	Common Stock				10728.0				I		Trustee for Children's Trust	
0001225208-09-025202	1483456	Common Stock				183726.0				I		Spouse Revocable Trust	
0001225208-09-025202	1483455	Common Stock				1143043.0				I		Spouse Irrevocable Trust	
0001225208-09-025202	1483454	Common Stock				252312.0				I		Spousal GRAT	
0001225208-09-025202	1483453	Common Stock				31672.0				I		Sole member of LLC which is sole general partner of limited partnership C	
0001225208-09-025202	1483452	Common Stock				950169.0				I		Sole member of LLC which is sole general partner of limited partnership A	
0001225208-09-025202	1483451	Common Stock				2061.0				I		Sole general partner of limited partnership B	
0001225208-09-025202	1483449	Common Stock				77001.0				I		GRAT	
0001225208-09-025202	1483448	Common Stock				236250.0				D		401(k)	
0001225208-09-025202	1483450	Common Stock				4465930.0				I		IRA	
0001181431-09-059375	1383600	Common Stock				108414.0				D			
0001057058-09-000087	1405869	Common Stock				145.0	F1			I		Shares held in custodial accounts	
0001057058-09-000087	1405868	Common Stock				8903.0				D			
0001057058-09-000086	1393623	Common Stock				45.0	F1			I		By son	
0001057058-09-000086	1393624	Common Stock				145.0	F2			I		Shares held in custodial accounts	
0001200876-09-000102	1370218	Common Stock				1285000.0				D			
0001181431-09-059362	1483962	Common Stock				5114.0				I		owned jointly with spouse	
0001181431-09-059361	1315362	common stock				22447.0				D		custodian for children	
0001181431-09-059361	1315364	common stock				3932.0				I			
0001181431-09-059361	1315363	common stock				3264.0				I		spouse IRA	
0000022356-09-000159	1351179	Common Stock				13599.0				I		401K	
0001387713-09-000005	1261696	Common Shares				79673.0				D			
0001209191-09-059186	1273529	Class A Common Stock				1436385.0	F4			I		Trusts u/w Mary I. Belk	
0001209191-09-059186	1273528	Class A Common Stock				1140080.0	F3			I		Trusts u/w W.H. Belk	
0001127602-09-026366	1457893	Common Stock				3544.12				I		401(k) Plan	F4
0001181431-09-059350	1384293	common stock				97399.0				I		jointly owned with spouse	
0001181431-09-059350	1384295	common stock				45273.0				I		401 K Plan	
0001181431-09-059350	1384294	common stock				2395.0				I		owned by spouse	
0001209191-09-059185	1346563	Common Stock				26209.0				I		By IRA	
0001209191-09-059185	1346561	Common Stock				4267.79	F3			I		By 401(k)	
0001209191-09-059185	1346562	Common Stock				2.06	F2			I		By wife as custodian for Daniel Sims	
0001127602-09-026363	1376061	Common Stock				291310.0				I			
0001127602-09-026363	1376062	Common Stock (k)				3543.0				D			
0001127602-09-026363	1376060	Common Stock				607352.0				D		Via Johnelle Hunt, Llc	
0000897069-09-001573	1430007	Common Stock				19000.0				I		Employee Benefit Trust	
0000897069-09-001573	1430008	Common Stock				16050.0				I			
0000897069-09-001573	1430006	Common Stock				4000.0				D		Burke Holdings	
0001387713-09-000004	1218493	Common Shares				39160894.0				I		By spouse	F4
0001387713-09-000004	1218492	Common Shares				10000000.0				I		By AvantaLion LLC	F3
0001181431-09-059342	1237728	Common Stock				1000.0	F1			I		Brooke S. Taylor Trust	
0001181431-09-059342	1237729	Common Stock				1000.0	F1			I		B. Loyall Taylor, III Trust	
0001181431-09-059342	1237730	Common Stock				1000.0				I		One Outerbridge Circle - Irrevocable Trust	
0001181431-09-059342	1237731	Common Stock				23029.0				I		Held in Bryn Mawr Trust Company Deferred Comp. Plan for Directors	
0001181431-09-059342	1237732	Common Stock				3390.0				I		Held in BMBC Deferred Com. Plan for Directors	
0001181431-09-059341	1230312	Common Stock				2087.0				I		One Outerbridge Circle Irrevocable Trust	
0001354488-09-002520	1227747	Common Stock				800000.0				D			
0001354488-09-002519	1292603	Common Stock				800000.0				D			
0001140361-09-030681	1234061	Common Stock				21608.4				D		By Spouse	
0001140361-09-030681	1234062	Common Stock				413.63				I			
0001354488-09-002518	1309808	Common Stock				1200000.0				D			
0001140361-09-030675	1317449	Common Stock				60000.0				D			
0001225208-09-025200	1236009	Common Stock				2413088.0				I			
0001225208-09-025199	1432506	Common Stock				351098.0				I		By Trust	F5
0001225208-09-025199	1432505	Common Stock				400000.0				I		By Spouse	F4
0001225208-09-025199	1432504	Common Stock				4237749.0				I		By LLC	F3
0001225208-09-025200	1236008	Common Stock				9193128.0				D		By Trust 2	F3
0001140361-09-030673	1399429	Common Stock				54945.0				I		by Spouse	
0001140361-09-030673	1399428	Common Stock				500.0				I		By Hinkle Trucking	
0001140361-09-030673	1399427	Common Stock				225785.0				D		As Cust for Grandchild	
0001140361-09-030673	1399430	Common Stock				4800.0				I			
0001209191-09-059180	1332306	Common Series A				1503.3				I		Held by wife in individual account	
0001209191-09-059179	1247133	Shares	F1			7000.0				I		By Irrevocable Trust	F4
0001209191-09-059179	1247134	Shares	F1			298758.0				I		By Grantor Retained Annuity Trust	F5
0001209191-09-059178	1357741	Shares	F1			1690.0				D			
0001209191-09-059178	1357740	Shares	F1			55850.0				I		By IRA	
0001209191-09-059178	1357739	Shares	F1			980.0				I		By IRA	
0001140361-09-030671	1271311	Common Stock				34150.0				D		By Spouse	
0001140361-09-030671	1271312	Common Stock				1500.0				I		By Self Directed IRA FBO Spouse	
0001140361-09-030671	1271313	Common Stock				4109.0				I			
0000049728-09-000060	1462264	Common Stock				45000.0				I		By Spouse	
0001140361-09-030668	1429675	Common Stock				33000.0				I			
0001140361-09-030668	1429674	Common Stock				357576.0				D		FBO Grandchildren	
0001127602-09-026354	1458666	Common Stock				134000.0				I		By Spouse	
0001127602-09-026353	1275700	Common Stock				16200.0				D			
0001209191-09-059176	1229781	Common Stock				119449.0				I		Wife	
0001209191-09-059176	1229782	Common Stock				4122.0				I		Custodian for children	
0001209191-09-059176	1229780	Common Stock				29486.0				I		401(k)/Profit Sharing Plan	
0001104659-09-072121	1263251	Old Second Bancorp Inc. Common Stock				21450.0				I		Co-trustee  with spouse	
0001104659-09-072121	1263252	Old Second Bancorp Inc. Common Stock				21450.0				I		Co-trustee  with spouse	
0001104659-09-072121	1263253	Old Second Bancorp Inc. Common Stock				946.0	F3			D			
0001225208-09-025198	1253493	Common Stock				73799.44				D		By Spouse	
0001225208-09-025198	1253494	Common Stock				30357.94				I			
0001104659-09-072120	1229087	Old Second Bancorp Inc. Common Stock				15394.0	F4			D			
0001104659-09-072118	1237025	Old Second Bancorp Inc. Common Stock				11602.0	F4			D			
0001104659-09-072117	1372058	Old Second Bancorp Inc.				12392.0	F4			D			
0001104659-09-072116	1226991	Old Second Bancorp Inc. Common Stock				22561.0	F4			D			
0001127602-09-026350	1385396	Common Stock				600.0				D		Victor J.Orsinger Living Trust	
0001127602-09-026350	1385397	Common Stock				3180.0				I		Wife's Living Trust	
0001127602-09-026350	1385398	Common Stock				7887.0				I			
0001140361-09-030666	1361009	Common Stock				3000.0				D		By Self Directed 401(k) Retirement Plan	
0001140361-09-030666	1361010	Common Stock				20784.0				I			
0001200580-09-000005	1236024	$2.50 par value common stock				45237.43				D			
0001418812-09-000082	1459221	Common Stock, par value $.01 per share				22568190.0				I		See footnotes	F3, F2
0001225208-09-025196	1465723	Common Stock				2000.0				I		By Spouse's IRA	
0001225208-09-025196	1465722	Common Stock				5000.0				I		By IRA-SEP	
0001179350-09-000097	1447693	Common stock				163000.0				I			
0001179350-09-000097	1447692	Common stock				849984.0				D		Held by spouse.	
0001140361-09-030661	1237743	Common Stock				4769.0				I		By children	
0001140361-09-030661	1237744	Common Stock				13544.0				I		by self as Cust for children	
0001140361-09-030661	1237745	Common Stock				1320.0				I		by Wife as Cust for children	
0001140361-09-030661	1237746	Common Stock				556.0				I			
0001140361-09-030661	1237742	Common Stock				28851.0				D		By Wife	
0001477558-09-000005	1297411	Common Stock, par value $0.001 per share				3047432.0	F2, F1			I	F3	By corporation	F3
0001209191-09-059160	1221009	Common Stock				516.66	F2, F1			I		By 401(k) Plan	
0001179110-09-017601	1279199	Common Stock				16256.0				I		by Trust	
0001179110-09-017601	1279200	Common Stock				5000.0				D			
0001140361-09-030658	1353294	Common Stock				4854.99				I			
0001140361-09-030658	1353293	Common Stock				63902.0				D		By Spouse	
0001127602-09-026348	1382168	Common Stock				14640.48				I		By Empl. Stock Ownership Plan	F2
0001127602-09-026348	1382169	Common Stock				18011.27				I		By Trust	F1
0001127602-09-026348	1382170	Common Stock				5079.04				I		M. J. Stone Grantor Retained Annuity Trust	
0001127602-09-026347	1451778	Common Stock				3250.0				I		By Ira	
0001212131-09-000138	1302913	Common Stock				576.0	F1			I		Thrift Plan Trust	
0001127602-09-026345	1325845	Common Stock				71.6				I		401k	
0001140361-09-030654	1247660	Common Stock				33146266.0	F5			D	F5	See footnote	F6
0001140361-09-030654	1247661	Common Stock				77430.0	F6			I			
0001127602-09-026344	1255622	Common Stock				8505.94				I		By 401(k) Plan	
0001479751-09-000002	1442336	Common Share Class A CUSIP 847856 101				16200000.0	F1			D			
0001477558-09-000004	1460361	Common Stock, par value $0.001 per share				3047432.0	F1			D			
0001140361-09-030651	1354439	Common Stock				592.0				I			
0001140361-09-030651	1354438	Common Stock				24927.0				D		FBO Children	
0001240151-09-000087	1349006	Common Stock				865.23				I		401(k) Plan	
0001127602-09-026342	1404269	Common Stock				71.6				I		401k	
0001047335-09-000147	1229887	Shares of Common Stock				591100.0	F1			I		The 1818 Fund II, L.P.	
0000707179-09-000210	1396901	COMMON STOCK				35031.67				D			
