ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000711377-16-000083	Steven J Quinlan (Attorney in Fact)	30-SEP-2016
0001209191-16-143452	/s/David Tyronne Howton, as Attorney-in-Fact for Shamim Ruff	30-SEP-2016
0001209191-16-143451	/s/David Tyronne Howton, as Attorney-in-Fact for Shamim Ruff	30-SEP-2016
0001209191-16-143450	/s/David Tyronne Howton, as Attorney-in-Fact for Joan Wood	30-SEP-2016
0001209191-16-143449	/s/David Tyronne Howton, as Attorney-in-Fact for Alexander Cumbo	30-SEP-2016
0000943663-16-000485	SailingStone Holdings LLC, By: /s/ MacKenzie B. Davis, Managing Member	30-SEP-2016
0000943663-16-000485	SailingStone Capital Partners LLC, By: /s/ Kathlyne Kiaie, Chief Compliance Officer	30-SEP-2016
0000943663-16-000485	/s/ Kenneth L. Settles Jr.	30-SEP-2016
0000943663-16-000485	/s/ MacKenzie B. Davis	30-SEP-2016
0001209191-16-143447	/s/ Joseph T. Kennedy	30-SEP-2016
0001209191-16-143446	/s/ John F. Thero	30-SEP-2016
0001140361-16-081352	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001140361-16-081350	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001140361-16-081348	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001140361-16-081346	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001140361-16-081344	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001140361-16-081342	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001209191-16-143441	Robert J. Bujarski, attorney-in-fact for Douglas C. Bryant	30-SEP-2016
0001140361-16-081340	/s/ Nina Chellew, Global Equity Plan Manager, Attorney-in-fact	30-SEP-2016
0001209191-16-143439	/s/ by Lane Verlenden as power of attorney for James Gerard Griffin	30-SEP-2016
0001209191-16-143438	/s/ Lane Verlenden as attorney-in-fact for James Gerard Griffin	30-SEP-2016
0001127602-16-063588	/s/ Tina Renee A Sablan, attorney-in-fact for Francisco M Atalig	30-SEP-2016
0001127602-16-063586	/s/ Tina Renee A Sablan, attorney-in-fact for Mr. Keven F Camacho	30-SEP-2016
0001209191-16-143435	Maria Teresa Punsalan as attorney-in-fact for Robert Alastair McLeod	30-SEP-2016
0001493152-16-013771	/s/ Steven Lang	30-SEP-2016
0001209191-16-143430	/s/ Marsha Larsen, attorney-in-fact for Ronald A. Sege	30-SEP-2016
0001209191-16-143428	/s/ Marsha Larsen, attorney-in-fact for Christopher Jodoin	30-SEP-2016
0001209191-16-143426	/s/ Marsha Larsen, attorney-in-fact for C. Michael Marszewski	30-SEP-2016
0001209191-16-143424	/s/ Marsha Larsen, attorney-in-fact for Sohrab Modi	30-SEP-2016
0001477932-16-012777	/s/ Kent I. Madsen, Manager of Epic Management Partners, LLC, Investment Manager of Epic Venture Fund IV, LLC	30-SEP-2016
0001477932-16-012777	/s/ Kent I. Madsen, Manager of ZWMC, IV, L.L.C., Investment Manager of Zions SBIC LLC	30-SEP-2016
0001477932-16-012777	/s/ E. Nicholaus Efstratis, an individual	30-SEP-2016
0001477932-16-012777	/s/ Kent I. Madsen, an individual	30-SEP-2016
0001209191-16-143422	/s/ Marsha Larsen, attorney-in-fact for Alicia Jayne Moore	30-SEP-2016
0000904454-16-001465	/s/ Michael T. Doyle, Attorney-in-Fact	30-SEP-2016
0001209191-16-143419	/s/ James. R. Gordon	30-SEP-2016
0001209191-16-143418	/s/ Robert W. Alspaugh, by Albert Liu, his Attorney-in-Fact	30-SEP-2016
0001209191-16-143417	/s/ James R. Gordon	30-SEP-2016
0001209191-16-143416	/s/ James R. Gordon	30-SEP-2016
0001520006-16-000358	/s/ Craig N. Adams, by Kyle A. Ellis as attorney-in-fact	30-SEP-2016
0000947871-16-001531	/s/ Jennifer Robles, by Power of Attorney	30-SEP-2016
0001300223-16-000001	Robert M. Ling, Jr.	30-SEP-2016
0001127602-16-063584	/s/ Sarah Dods, Attorney-in-Fact for Marc Benioff	30-SEP-2016
0000812011-16-000151	Emily S. Barbara, Attorney-in-Fact for John F. Sorte	30-SEP-2016
0001209191-16-143413	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143412	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143411	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143410	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143409	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143408	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001209191-16-143407	/s/ Anthony F. Marone, Jr.	30-SEP-2016
0001209191-16-143406	/s/ Anthony F. Marone, Jr., Attorney-In-Fact	30-SEP-2016
0001183121-16-000004	/s/ Steven F. Retzloff	30-SEP-2016
0000023197-16-000071	Michael Galletti	30-SEP-2016
0001179110-16-030105	/s/ Charles Szurgot, Attorney-in-Fact for Mary E Finch	30-SEP-2016
0001144204-16-126375	FUNDAMENTAL GLOBAL INVESTORS, LLC /s/ D. Kyle Cerminara, Chief Executive Officer, Partner and Manager	30-SEP-2016
0001144204-16-126375	/s/ D. Kyle Cerminara	30-SEP-2016
0001144204-16-126375	/s/ Joseph H. Moglia	30-SEP-2016
0001144204-16-126375	BALLANTYNE STRONG, INC. /s/ D. Kyle Cerminara, Chief Executive Officer	30-SEP-2016
0001144204-16-126375	/s/ Lewis M. Johnson	30-SEP-2016
0000023197-16-000069	Michael Galletti	30-SEP-2016
0000840489-16-000175	/s/ R. Douglas Orr, Authorized Officer for FirstCash, Inc., Frontier Merger Sub, LLC and CSH Holdings LLC	30-SEP-2016
0001209191-16-143405	/s/ Sukhi Jagpal as attorney-in-fact for Donald R. Parfet	30-SEP-2016
0001287865-16-000045	Emily R. Sawyer, by power of attorney	30-SEP-2016
0001209191-16-143404	Christopher G. Cobb, Attorney in Fact for James S. Ely	30-SEP-2016
0001127602-16-063582	Executed on behalf of Randall C. Ferguson, Jr. by Jaileah X. Huddleston, attorney-in-fact	30-SEP-2016
0001209191-16-143403	Christopher G. Cobb, Attorney in Fact for H. Mitchell Watson	30-SEP-2016
0001225208-16-039785	Darren Dragovich, As Attorney-in-Fact	30-SEP-2016
0000904454-16-001463	/s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC, general partner of Abdiel Qualified Master Fund, LP	30-SEP-2016
0000904454-16-001463	/s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC, general partner of Abdiel Capital, LP	30-SEP-2016
0000904454-16-001463	/s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC	30-SEP-2016
0000904454-16-001463	/s/ Colin T. Moran as managing member of Abdiel Capital Partners, LLC, general partner of Abdiel Capital Advisors, LP	30-SEP-2016
0000904454-16-001463	/s/ Colin T. Moran, individually	30-SEP-2016
0001437749-16-039346	/s/ Stephen M. Merkel	30-SEP-2016
0001209191-16-143402	James R. Jones, Attorney ion fact for Timothy A. Richardson	30-SEP-2016
0001520631-16-000035	Richard Chiang	30-SEP-2016
0001127602-16-063580	Executed on behalf of Scott D. Grimes by Jaileah X. Huddleston, attorney-in-fact	30-SEP-2016
