ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-17-042634	323581	Stock Option (right to buy)		7.05					F8	04-MAY-2022		Class A Common Stock		43750.0				43750.0				D			
0001615774-17-003460	320847	Warrant		5.75					F1	23-DEC-2021		Common Stock		1834615.0	F2			3669230.0				I		See footnote	F4
0001461790-17-000019	302186	Warrants (Right to Buy)		11.5					F2		F2	Class A Common Stock		1165848.0								D			
0001461790-17-000019	302187	8.000% Series A Cumulative Perpetual Preferred Stock			F3				F3		F3	Class A Common Stock		869565.0								D			
0001209191-17-042599	310998	Series A Convertible Preference Shares	F3	93.87	F4				F5		F6	Common Shares		6658059.0				6658059.0	F7			I		See footnote	F7
0001678202-17-000002	311129	STOCK OPTIONS		1.89					F3	04-OCT-2021		COMMON SHARES		150000.0				150000.0				D			
0001209191-17-042571	262372	Stock Option (right to buy)		12.0					F3	23-MAR-2027		Common Stock		1171.0				1171.0	F4			D			
0001654954-17-006064	292716	Non-Qualified Stock Option (Right to Buy)		5.1				18-DEC-2012		18-JUN-2022		Common		18887.0				18887.0				D			
0001654954-17-006064	292715	Incentive Stock Option (Right to Buy)		5.1				18-DEC-2012		18-JUN-2022		Common Stock		4447.0				4447.0				D			
0001654954-17-006064	292714	Common Stock Warrant (Right To Buy)		23.4				16-DEC-2013		16-DEC-2017		Common Stock		191.0				191.0				D			
0001654954-17-006064	292712	Incentive Stock Option (Right to Buy)		2.2				22-JUL-2017		01-JUL-2021		Common Stock		28000.0				28000.0				D			
0001654954-17-006064	292713	Incentive Stock Option (Right to Buy)		3.7				01-JUL-2015		01-JUL-2020		Common Stock		27000.0				27000.0				D			
