ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001868645-22-000001	2319172	Class B common stock			F1	28-SEP-2022				4	C	0				2835000.0					F1	D			F1		F1	Class A common stock		2835000.0				0.0				I		indirect	F2
0001868212-22-000002	2319416	Class B common stock			F1	28-SEP-2022				4	C	0				2835000.0					F1	D			F1		F1	Class A common stock		2835000.0				0.0				I		Indirect	F2
0001104659-22-104798	2319235	Series Z Preferred Stock	F4		F5	28-SEP-2022				4	J	0	F3			14115.0					F5	A			F5		F5	Common Stock		14115000.0				14115.0				I	F2	NovaQuest Co-Investment Fund XV, L.P.	
0001104659-22-104798	2319233	Warrants		0.46		28-SEP-2022				4	J	0	F3			1343547.0					F3	A		28-SEP-2022		23-MAR-2031		Common Stock		1343547.0				1343547.0				I	F2	NovaQuest Co-Investment Fund XV, L.P.	
0001104659-22-104798	2319234	Warrants		460.0		28-SEP-2022				4	J	0	F3			14115.0					F3	A		28-SEP-2022		23-MAR-2031		Series Z Preferred Stock		14115.0				14115.0				I	F2	NovaQuest Co-Investment Fund XV, L.P.	
0001104659-22-104797	2319337	Series Z Convertible Preferred Stock			F2	28-SEP-2022				4	A	0	F1			22810.0					F1	A			F2		F2	Common Stock		22810000.0				22810.0				D			
0001104659-22-104796	2319210	Series Z Convertible Preferred Stock			F2	28-SEP-2022				4	A	0	F1			22810.0					F1	A			F2		F2	Common Stock		22810000.0				22810.0				D			
0001104659-22-104795	2319027	Options (Right to Buy)		12.28		28-SEP-2022				4	A	0	F1			651364.0					F3	A			F2	09-FEB-2032		Common Stock		651364.0				651364.0				D			
0001104659-22-104795	2319029	Series Z Preferred Stock			F4	28-SEP-2022				4	A	0	F1			6843.0					F1	A			F4		F4	Common Stock		6843000.0				6843.0				D			
0001104659-22-104795	2319028	Options (Right to Buy)		12280.0		28-SEP-2022				4	A	0	F1			6843.0					F3	A			F2	09-FEB-2032		Series Z Preferred Stock		6843.0				6843.0				D			
0001104659-22-104793	2319352	Series Z Convertible Preferred Stock			F2	28-SEP-2022				4	A	0	F1			6843.0					F1	A			F2		F2	Common Stock		6843000.0				6843.0				D			
0001868205-22-000002	2319395	Class B common stock			F1	28-SEP-2022				4	C	0				2835000.0					F1	D			F1		F1	Class A common stock		2835000.0				0.0				D			
0001209191-22-051688	2319386	Stock Option (right to buy)		6.0		21-APR-2022				4	A	0				30425.0				0.0		A			F4	28-FEB-2027		Common Stock		30425.0				30425.0				D			
0001209191-22-051688	2319387	Common Stock Purchase Warrant  (right to buy)		4.22		28-SEP-2022				4	A	0				1703577.0				0.13		A		28-SEP-2022		28-SEP-2027		Common Stock		1703577.0				1703577.0				D			
0001869931-22-000002	2319051	Class B common stock			F1	28-SEP-2022				4	C	0				10000.0					F1	D			F1		F1	Class A common stock		10000.0				10000.0				D			
0001140361-22-035564	2319320	Stock Option (Right to Buy)		6.41		28-SEP-2022				4	M	0				16412.0				0.0		D			F9	29-JAN-2023		Ordinary Shares		16412.0				0.0	F10			D			
0001140361-22-035563	2319099	Stock Option (Right to Buy)		6.41		28-SEP-2022				4	M	0				10000.0				0.0		D		29-JAN-2014	F2	29-JAN-2023	F2	Ordinary Shares		10000.0				20000.0				D			
0001140361-22-035562	2319161	Stock Option (Right to Buy)		6.41		28-SEP-2022				4	M	0				25000.0				0.0		D		29-JAN-2014	F2	29-JAN-2023	F2	Ordinary Shares		25000.0				20000.0				D			
0001140361-22-035561	2319423	Stock Option (right to buy)		6.41		28-SEP-2022				4	M	0				31666.0				0.0		D			F2	29-JAN-2023		Ordinary Shares		31666.0				63334.0				D			
0001868575-22-000002	2319272	Class B common stock			F1	28-SEP-2022				4	C	0				10000.0					F1	D			F1		F1	Class A common stock		10000.0				10000.0				D			
0001104659-22-104781	2319056	Stock Options (option to buy)		12.62		29-SEP-2022				4	A	0				23500.0				0.0		A			F1	29-SEP-2032		Common Stock, par value $0.0001		23500.0				23500.0				D			
0001104659-22-104780	2319141	Stock Options (option to buy)		12.62		29-SEP-2022				4	A	0				23500.0				0.0		A			F1	29-SEP-2032		Common Stock, par value $0.0001		23500.0				23500.0				D			
0001104659-22-104779	2319448	Stock Options (option to buy)		12.62		29-SEP-2022				4	A	0				23500.0				0.0		A			F1	29-SEP-2032		Common Stock, par value $0.0001		23500.0				23500.0				D			
0001104659-22-104778	2319053	Stock Options (option to buy)		12.62		29-SEP-2022				4	A	0				23500.0				0.0		A			F1	29-SEP-2032		Common Stock, par value $0.0001		23500.0				23500.0				D			
0001104659-22-104777	2319324	Stock Options (option to buy)		12.62		29-SEP-2022				4	A	0				23500.0				0.0		A			F1	29-SEP-2032		Common Stock, par value $0.0001		23500.0				23500.0				D			
