TRANS_DATE,TRANS_CODE,TRANS_SHARES
2017-08-21,S,100.0
2017-08-21,S,56.0
2017-08-21,S,503.0
2017-08-21,S,397.0
2017-08-21,S,400.0
2017-08-21,S,144.0
2017-08-22,S,100.0
2017-08-22,S,400.0
2017-08-22,S,200.0
2017-08-22,S,100.0
2017-08-21,S,100.0
2017-08-21,S,300.0
2017-08-18,G,105.0
2017-08-15,S,400.0
2017-08-15,S,100.0
2017-08-15,S,100.0
2017-08-15,S,448.0
2017-08-15,M,4231.0
2017-08-15,M,494.0
2017-08-15,S,2.0
2017-08-15,S,200.0
2017-08-15,S,535.0
2017-08-15,S,200.0
2017-08-15,S,464.0
2017-08-15,S,100.0
2017-08-15,M,3688.0
2017-08-15,M,1036.0
2017-08-15,S,100.0
2017-08-15,S,200.0
2017-08-15,S,613.0
2017-08-15,S,300.0
2017-08-15,S,300.0
2017-08-15,M,748.0
2017-08-15,M,1363.0
2017-08-15,M,73.0
2017-08-15,M,150.0
2017-08-15,S,2334.0
2017-08-15,S,88.0
2017-08-15,S,100.0
2017-08-15,S,100.0
2017-08-15,M,544.0
2017-08-15,S,256.0
2017-08-15,G,5312.0
2017-08-16,S,100.0
2017-08-15,G,5312.0
2017-08-16,S,200.0
2017-08-15,S,75.0
2017-08-15,S,280.0
2017-08-15,M,5312.0
2017-08-16,S,55.0
2017-08-15,M,840.0
2017-08-15,M,754.0
2017-08-15,M,578.0
2017-08-15,S,500.0
2017-08-15,S,302.0
2017-08-15,S,200.0
2017-08-15,S,300.0
2017-08-15,S,264.0
2017-08-15,S,200.0
2017-08-15,M,1002.0
2017-08-15,S,568.0
2017-08-03,S,200.0
2017-08-03,S,155.0
2017-08-04,S,100.0
2017-08-04,S,255.0
2018-10-29,S,560.0
2018-10-29,S,100.0
2018-10-29,S,200.0
2018-10-29,S,500.0
2018-10-29,S,100.0
2018-10-29,S,124.0
2018-10-29,S,103.0
2018-10-29,S,252.0
2018-10-29,S,200.0
2018-10-29,S,100.0
2018-10-29,S,1100.0
2018-10-29,S,304.0
2018-10-29,S,300.0
2018-10-29,S,700.0
2018-10-29,S,1000.0
2018-10-29,S,1500.0
2018-10-29,S,807.0
2018-10-29,S,500.0
2018-10-29,S,400.0
2018-10-29,S,600.0
2018-10-29,S,900.0
2018-10-29,S,700.0
2018-10-29,S,1439.0
2018-10-29,S,1374.0
2018-10-29,S,601.0
2018-10-29,S,300.0
2018-10-29,S,400.0
2018-10-29,S,500.0
2018-10-29,S,700.0
2018-10-29,S,600.0
2018-10-30,G,284.0
2018-10-29,G,316.0
2018-10-29,S,300.0
2018-10-29,S,100.0
2018-10-29,S,100.0
2018-10-29,S,473.0
2018-10-29,S,2127.0
2018-10-29,S,100.0
2018-11-28,G,39612.0
2018-11-19,S,220.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,125.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,200.0
2018-11-19,S,100.0
2018-11-19,S,100.0
2018-11-19,S,200.0
2018-11-20,S,150.0
2018-11-20,S,100.0
2018-11-20,S,100.0
2018-11-20,S,300.0
2018-11-20,S,200.0
2018-11-20,S,130.0
2018-11-20,S,100.0
2018-11-20,S,100.0
2018-11-20,S,50.0
2018-11-15,S,137.0
2018-11-15,S,100.0
2018-11-15,M,420.0
2018-11-15,M,17.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,M,359.0
2018-11-15,M,131.0
2018-11-15,M,1117.0
2018-11-15,M,782.0
2018-11-15,S,2030.0
2018-11-15,M,3512.0
2018-11-15,M,596.0
2018-11-15,G,596.0
2018-11-15,G,3512.0
2018-11-15,G,596.0
2018-11-15,G,3512.0
2018-11-15,M,359.0
2018-11-15,M,377.0
2018-11-15,S,181.0
2018-11-15,M,1368.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,200.0
2018-11-15,S,100.0
2018-11-15,S,200.0
2018-11-15,S,46.0
2018-11-15,S,200.0
2018-11-15,S,169.0
2018-11-15,S,200.0
2018-11-15,S,100.0
2018-11-15,M,662.0
2018-11-15,S,100.0
2018-11-15,S,104.0
2018-11-15,S,210.0
2018-11-15,S,100.0
2018-11-15,S,200.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,37.0
2018-11-15,S,100.0
2018-11-15,S,37.0
2018-11-15,S,284.0
2018-11-15,S,10.0
2018-11-15,S,26.0
2018-11-15,S,200.0
2018-11-15,S,132.0
2018-11-15,S,100.0
2018-11-15,M,3157.0
2018-11-15,M,952.0
2018-11-15,S,300.0
2018-11-15,M,359.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,200.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,200.0
2018-11-15,S,155.0
