TRANS_DATE,TRANS_CODE,TRANS_SHARES
2017-07-28,S,102.0
2017-07-28,S,423.0
2017-08-25,C,2625.0
2017-08-25,F,2866.0
2017-08-25,C,2625.0
2017-08-25,C,2625.0
2017-08-25,C,2625.0
2017-08-25,F,2866.0
2017-08-25,C,6.0
2017-08-25,F,8.0
2017-08-25,F,7.0
2017-08-25,C,6.0
2017-08-25,C,2.0
2017-08-25,C,14.0
2017-08-25,F,4.0
2017-08-25,C,604.0
2017-08-25,C,604.0
2017-08-25,F,660.0
2017-08-25,F,660.0
2017-08-25,C,604.0
2017-08-25,C,604.0
2017-08-25,C,183.0
2017-08-25,C,183.0
2017-08-25,F,201.0
2017-09-25,C,2217.0
2017-09-25,C,1575.0
2017-09-25,F,1719.0
2017-09-25,C,3792.0
2017-09-25,F,2420.0
2017-09-25,C,603.0
2017-09-25,C,603.0
2017-09-25,C,603.0
2017-09-25,F,660.0
2017-09-25,C,8169.0
2017-09-25,F,8914.0
2017-09-25,C,8772.0
2017-09-25,F,660.0
2017-09-25,C,183.0
2017-09-25,F,201.0
2017-09-25,C,183.0
2017-09-25,C,3530.0
2017-09-25,F,3.0
2017-09-25,C,2.0
2017-09-25,F,7.0
2017-09-25,C,6.0
2017-09-25,C,6.0
2017-09-25,F,1280.0
2017-09-25,F,1280.0
2017-09-25,C,1172.0
2017-09-25,F,8.0
2017-09-25,C,1172.0
2017-07-25,C,14.0
2017-07-25,F,4.0
2017-07-25,F,8.0
2017-07-25,C,6.0
2017-07-25,F,8.0
2017-07-25,C,6.0
2017-07-25,C,2.0
2017-07-25,C,603.0
2017-07-25,C,603.0
2017-07-25,F,660.0
2017-07-25,C,603.0
2017-07-25,C,603.0
2017-07-25,F,660.0
2017-07-25,C,184.0
2017-07-25,C,184.0
2017-07-25,F,201.0
2017-08-22,C,400.0
2017-08-22,G,400.0
2017-08-22,G,400.0
2017-07-19,S,3625.0
2017-07-19,S,375.0
2017-08-16,S,375.0
2017-08-16,S,3625.0
2017-08-15,S,1100.0
2017-08-15,S,3757.0
2017-08-15,S,2735.0
2017-08-15,S,600.0
2017-08-15,S,300.0
2017-08-15,S,5064.0
2017-08-14,S,1000.0
2017-08-14,C,1000.0
2017-08-14,S,1000.0
2017-07-12,S,1000.0
2017-07-12,C,1000.0
2017-07-12,S,1000.0
2017-09-12,C,748.0
2017-09-12,S,748.0
2017-09-12,S,748.0
2017-08-10,C,12000.0
2017-09-06,S,3625.0
2017-09-06,S,375.0
2017-09-05,S,183.0
2017-07-05,A,372.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-07-05,A,390.0
2017-09-01,S,37.0
2017-07-03,S,5.0
2017-07-03,S,19.0
2017-07-05,S,375.0
2017-07-05,S,3625.0
2017-07-03,S,183.0
2017-08-01,S,1863.0
2017-08-01,S,629.0
2017-08-02,S,3625.0
2017-08-02,S,375.0
2017-08-01,S,184.0
2018-10-25,F,7.0
2018-10-25,C,7.0
2018-10-25,C,3.0
2018-10-25,F,3.0
2018-10-25,C,10.0
2018-10-25,C,637.0
2018-10-25,F,627.0
2018-10-25,C,637.0
2018-10-25,C,637.0
2018-10-25,C,637.0
2018-10-25,F,627.0
2018-12-26,C,1323.0
2018-12-26,C,1323.0
2018-12-26,F,1302.0
2018-12-26,C,1660.0
2018-12-26,F,1634.0
2018-12-26,C,1323.0
2018-12-26,C,2983.0
2018-12-26,F,1302.0
2018-12-26,F,627.0
2018-12-26,C,636.0
2018-12-26,F,627.0
2018-12-26,C,8613.0
2018-12-26,F,8470.0
2018-12-26,C,9249.0
2018-12-26,C,636.0
2018-12-26,C,636.0
2018-12-26,C,3.0
2018-12-26,C,1323.0
2018-12-26,C,1236.0
2018-12-26,F,7.0
2018-12-26,C,7.0
2018-12-26,F,1302.0
2018-12-26,F,3.0
2018-12-26,C,2569.0
2018-12-26,F,1216.0
2018-12-26,C,14.0
2018-12-26,F,15.0
2018-12-26,C,66.0
2018-12-26,C,80.0
2018-12-26,F,66.0
2018-11-26,F,627.0
2018-11-26,C,636.0
2018-11-26,C,636.0
2018-11-26,C,636.0
2018-11-26,F,627.0
2018-11-26,C,636.0
2018-11-26,C,9.0
2018-11-26,F,3.0
2018-11-26,C,2.0
2018-11-26,F,7.0
2018-11-26,C,7.0
2018-11-26,C,2768.0
2018-11-26,C,2768.0
2018-11-26,F,2723.0
2018-11-26,C,2768.0
2018-11-26,C,2768.0
2018-11-26,F,2723.0
2018-11-26,C,66.0
2018-11-26,F,66.0
2018-11-26,F,15.0
2018-11-26,C,14.0
2018-11-26,C,80.0
2018-12-27,C,20234.0
2018-12-27,G,23002.0
2018-12-27,C,3841.0
2018-12-27,G,24821.0
2018-12-27,G,3841.0
2018-12-27,G,3841.0
2018-12-27,G,20234.0
2018-10-25,C,80.0
2018-10-25,C,14.0
2018-10-25,F,15.0
2018-10-25,C,66.0
2018-10-25,F,66.0
2018-10-17,S,700.0
2018-10-17,S,1300.0
2018-10-17,S,900.0
2018-10-17,S,900.0
2018-10-17,S,638.0
2018-10-17,S,1500.0
2018-10-17,S,1628.0
2018-10-17,S,900.0
2018-10-17,S,1209.0
2018-10-17,S,325.0
2018-11-21,S,200.0
2018-11-21,S,100.0
2018-11-21,S,500.0
2018-11-21,S,700.0
2018-11-21,S,766.0
2018-11-21,S,1292.0
2018-11-21,S,325.0
2018-11-21,S,620.0
2018-11-21,S,2500.0
2018-11-21,S,1697.0
2018-11-21,S,1300.0
2018-11-15,S,450.0
2018-11-15,S,200.0
2018-11-15,S,700.0
2018-11-15,S,442.0
2018-11-15,S,1257.0
2018-11-15,S,449.0
2018-11-15,S,300.0
2018-11-15,S,200.0
2018-11-15,S,100.0
2018-11-15,S,100.0
2018-11-15,S,300.0
2018-11-15,S,500.0
