TRANS_DATE,TRANS_CODE,TRANS_SHARES
2017-08-29,S,300.0
2017-08-29,S,4064.0
2017-08-28,S,1270.0
2017-08-28,S,1270.0
2017-08-29,M,20000.0
2017-08-29,S,15636.0
2017-09-26,S,4928.0
2017-09-26,S,4846.0
2017-09-26,M,20000.0
2017-09-26,S,6700.0
2017-09-26,S,1224.0
2017-09-26,S,2302.0
2017-07-18,M,15000.0
2017-07-18,S,9559.0
2017-07-18,S,5441.0
2017-07-14,S,200.0
2017-07-14,S,700.0
2017-07-14,S,1100.0
2017-08-15,M,20000.0
2017-08-15,S,1300.0
2017-08-15,S,18700.0
2017-09-12,M,5838.0
2017-09-12,S,1800.0
2017-09-12,S,3154.0
2017-09-12,S,884.0
2017-09-12,S,2200.0
2017-09-12,S,626.0
2017-09-12,S,300.0
2017-09-12,S,765.0
2017-09-12,S,700.0
2017-09-12,S,900.0
2017-09-12,S,12090.0
2017-09-12,S,6310.0
2017-09-12,M,20000.0
2017-07-07,S,1672.0
2017-08-07,S,1671.0
2017-09-07,S,20000.0
2017-09-07,M,20000.0
2017-09-05,S,500.0
2017-09-05,S,500.0
2017-09-05,S,1000.0
2017-09-05,S,145.0
2017-07-05,F,353.0
2017-07-05,S,15000.0
2017-07-05,M,15000.0
2017-08-03,S,1609.0
2017-08-03,S,700.0
2017-08-03,S,401.0
2017-08-03,S,899.0
2017-07-03,S,145.0
2017-08-02,M,10000.0
2017-08-02,S,10000.0
2016-06-07,G,300.0
2017-08-02,S,10800.0
2017-08-02,M,10800.0
2017-08-02,S,15.0
2017-08-02,S,3116.0
2017-08-02,S,5000.0
2017-08-01,S,100.0
2017-08-01,S,11300.0
2017-08-01,S,3600.0
2017-08-01,M,15000.0
2017-08-02,M,5000.0
2017-08-31,S,2500.0
2017-08-31,S,2274.0
2017-08-30,S,616.0
2018-11-28,S,3300.0
2018-12-26,S,3300.0
2018-12-12,G,31680.0
2018-11-23,S,644.0
2018-10-24,S,3300.0
2018-11-14,F,116.0
2018-11-14,S,3300.0
2018-11-12,S,100.0
2018-11-12,S,400.0
2018-11-12,S,700.0
2018-11-12,S,900.0
2018-11-12,S,800.0
2018-11-12,S,1400.0
2018-11-12,S,1741.0
2018-11-12,S,1724.0
2018-11-12,S,500.0
2018-11-12,S,1335.0
2018-11-12,M,10000.0
2018-11-12,S,200.0
2018-11-12,S,200.0
2018-12-11,F,4632.0
2018-12-11,A,913.0
2018-12-12,S,3300.0
2018-12-11,A,6081.0
2018-12-11,A,1521.0
2018-12-11,A,1901.0
2018-12-11,A,2661.0
2018-12-11,A,1711.0
2018-12-11,A,1521.0
2018-12-11,A,1521.0
2018-12-11,A,1141.0
2018-12-11,A,6461.0
2018-10-10,S,500.0
2018-10-10,S,741.0
2018-10-10,S,400.0
2018-10-10,S,789.0
2018-10-10,S,200.0
2018-10-10,S,100.0
2018-10-10,S,1209.0
2018-10-10,S,900.0
2018-10-10,S,1800.0
2018-10-10,S,1000.0
2018-10-10,S,900.0
2018-10-10,S,700.0
2018-10-10,S,461.0
2018-10-10,M,10000.0
2018-10-10,S,100.0
2018-10-10,S,200.0
2018-10-10,S,3300.0
2018-12-10,S,644.0
2018-11-07,S,100.0
2018-11-07,S,200.0
2018-11-07,S,700.0
2018-11-05,F,253.0
2018-11-05,F,796.0
2018-11-05,F,127.0
2018-11-05,F,2337.0
2018-11-05,F,3592.0
2018-11-05,F,1193.0
2018-11-05,F,1583.0
2018-11-05,M,6000.0
2018-11-05,S,1000.0
2018-11-05,S,1500.0
2018-11-05,S,1400.0
2018-11-05,F,1218.0
2018-11-05,S,1000.0
2018-11-05,S,300.0
2018-11-05,S,100.0
2018-11-05,S,435.0
2018-11-05,S,1100.0
2018-11-05,F,1583.0
2018-12-06,S,100.0
2018-12-06,S,200.0
2018-12-06,S,200.0
2018-12-06,S,200.0
2018-12-06,S,100.0
2018-12-06,S,200.0
2018-12-06,F,4632.0
2018-12-03,S,566.0
2018-12-03,M,1000.0
2018-12-03,S,1345.0
2018-12-03,S,400.0
2018-12-03,S,1200.0
2018-12-03,S,200.0
2018-12-03,S,400.0
2018-12-03,S,400.0
2018-12-03,S,400.0
2018-10-01,S,100.0
2018-10-01,S,800.0
2018-10-01,S,1200.0
2018-10-01,M,1000.0
2018-10-01,S,1346.0
2018-11-01,M,1000.0
2018-11-01,S,1346.0
2018-11-01,S,400.0
2018-11-01,S,300.0
2018-11-01,S,593.0
2018-11-01,S,807.0
2022-07-05,F,285.0
2022-07-07,S,539.0
2010-03-25,S,25000.0
2010-01-29,F,733.0
2010-01-27,A,7500.0
2010-01-28,F,573.0
2010-01-27,A,6667.0
2010-01-28,F,458.0
2010-01-27,A,7500.0
2010-01-28,F,389.0
2010-01-28,F,458.0
2010-01-29,F,672.0
2010-01-28,F,472.0
2010-01-27,A,7500.0
2010-01-27,A,7500.0
2010-01-25,M,3000.0
2010-01-25,S,3000.0
2010-01-19,M,2000.0
2010-01-19,S,2000.0
2010-01-14,M,20000.0
2010-01-14,M,10000.0
2010-01-14,S,10000.0
