TRANS_DATE,TRANS_CODE,TRANS_SHARES
2017-08-29,S,410.0
2017-08-29,S,267.0
2017-08-29,S,73.0
2017-08-25,S,25941.0
2017-08-25,S,11506.0
2017-08-25,S,10978.0
2017-08-25,S,4000.0
2017-08-25,S,14274.0
2017-08-25,S,727.0
2017-08-28,C,59852.0
2017-08-28,S,50004.0
2017-08-28,S,9848.0
2017-08-28,C,37408.0
2017-08-28,S,32758.0
2017-08-28,S,4650.0
2017-08-28,S,12561.0
2017-08-28,S,2400.0
2017-08-28,S,12562.0
2017-08-28,S,2400.0
2017-08-25,C,59916.0
2017-08-25,S,41018.0
2017-08-25,S,18798.0
2017-08-25,C,37447.0
2017-08-25,S,100.0
2017-09-26,S,750.0
2017-07-25,S,750.0
2017-08-24,S,16298.0
2017-08-21,S,15470.0
2017-08-22,S,750.0
2017-08-21,S,11130.0
2017-08-21,S,4870.0
2017-09-21,S,13400.0
2017-09-21,S,2600.0
2017-09-19,S,750.0
2017-09-20,S,26771.0
2017-09-20,C,58180.0
2017-09-20,S,30729.0
2017-09-20,S,680.0
2017-09-20,C,36364.0
2017-09-20,S,15852.0
2017-09-20,S,19812.0
2017-09-20,S,700.0
2017-09-20,S,8800.0
2017-09-20,S,5646.0
2017-09-20,S,100.0
2017-09-20,S,7960.0
2017-09-20,S,6512.0
2017-09-20,S,75.0
2017-09-19,C,58262.0
2017-09-19,S,20655.0
2017-09-19,S,35787.0
2017-09-19,S,1820.0
2017-09-19,C,36414.0
2017-09-19,S,11371.0
2017-09-19,S,23901.0
2017-09-19,S,1142.0
2017-09-19,S,6305.0
2017-09-19,S,8265.0
2017-09-19,S,6576.0
2017-09-19,S,7993.0
2017-07-19,C,245935.0
2017-07-19,C,170205.0
2017-07-21,S,16000.0
2017-07-18,S,750.0
2017-07-15,C,59952.0
2017-07-15,F,31283.0
2017-07-18,S,7184.0
2017-07-18,S,18218.0
2017-07-18,S,29045.0
2017-07-18,S,23753.0
2017-07-17,S,31663.0
2017-07-14,S,3490137.0
2017-07-15,F,7821.0
2017-07-15,C,14988.0
2017-07-15,C,59952.0
2017-07-15,F,5933.0
2017-07-15,C,11370.0
2017-07-15,F,31283.0
2017-07-15,C,74940.0
2017-07-15,F,39104.0
2017-08-15,M,13030.0
2017-08-15,C,43193.0
2017-08-15,F,6800.0
2017-08-15,F,22539.0
2017-07-31,G,590000.0
2017-08-15,C,18789.0
2017-08-15,F,9805.0
2017-08-15,M,15035.0
2017-08-15,F,3231.0
2017-08-15,M,6515.0
2017-08-15,F,3400.0
2017-08-15,M,6191.0
2017-08-15,F,7846.0
2017-08-15,M,8254.0
2017-08-15,F,4307.0
2017-08-15,F,45180.0
2017-08-15,C,34122.0
2017-08-15,F,17805.0
2017-08-15,F,5231.0
2017-08-15,M,10023.0
2017-08-15,C,86584.0
2017-08-15,M,5370.0
2017-08-15,F,2803.0
2017-08-15,M,10023.0
2017-08-15,F,5231.0
2017-08-15,F,4919.0
2017-08-15,F,5169.0
2017-08-15,M,8432.0
2017-08-15,F,4400.0
2017-08-15,M,9426.0
2017-08-15,M,9905.0
2017-08-16,S,5507.0
2017-08-15,F,648427.0
2017-08-16,S,2259000.0
2017-08-16,S,688985.0
2017-08-15,M,1242673.0
2017-08-15,C,11370.0
2017-08-15,F,5933.0
2017-08-15,C,34122.0
2017-08-15,F,17805.0
2017-08-15,F,4307.0
2017-08-15,F,14009.0
2017-08-15,M,10023.0
