TRANS_DATE,TRANS_CODE,TRANS_SHARES
2022-07-26,S,1100.0
2022-07-26,S,400.0
2022-07-27,S,404.0
2022-07-26,S,400.0
2022-07-26,S,100.0
2022-09-18,M,236.0
2022-09-18,M,236.0
2022-07-18,S,6700.0
2022-07-18,C,6700.0
2022-08-12,S,404.0
2022-08-12,S,500.0
2022-08-12,S,1400.0
2022-08-12,S,100.0
2022-07-12,S,300.0
2022-07-12,S,600.0
2022-07-12,S,1000.0
2022-07-12,S,100.0
2022-07-13,S,404.0
2022-09-09,M,14383.0
2022-09-09,F,6661.0
2022-09-09,F,9.0
2022-09-09,M,25.0
2022-07-08,F,1594.0
2022-07-08,M,4469.0
2022-07-09,F,5755.0
2022-07-09,M,14384.0
2022-07-08,F,4309.0
2022-07-08,M,6328.0
2022-07-08,F,3236.0
2022-07-08,M,8427.0
2022-07-12,S,2319.0
2022-08-09,S,800.0
2022-08-09,S,200.0
2022-08-09,S,200.0
2022-08-10,S,404.0
2022-08-09,S,200.0
2022-08-09,S,200.0
2022-08-09,S,400.0
2022-09-07,M,126.0
2022-09-04,F,815.0
2022-09-04,M,1710.0
2022-07-05,M,877.0
2022-07-05,F,304.0
2022-08-01,S,1393.0
2022-08-01,S,1200.0
2022-08-01,C,6700.0
2022-08-01,S,300.0
2022-08-01,S,600.0
2022-08-01,S,3207.0
2020-10-28,S,1100.0
2020-10-28,S,1500.0
2020-10-28,S,500.0
2020-10-28,S,1200.0
2020-10-28,S,400.0
2020-10-28,S,700.0
2020-10-28,S,100.0
2020-10-28,S,400.0
2020-10-28,S,500.0
2020-10-28,S,100.0
2020-10-28,S,100.0
2020-10-28,S,200.0
2020-10-28,C,177285.0
2020-10-28,G,107143.0
2020-10-28,S,1724.0
2020-10-28,S,4751.0
2020-10-28,S,7423.0
2020-10-28,S,7934.0
2020-10-28,S,7331.0
2020-10-28,S,5945.0
2020-10-28,S,3898.0
2020-10-28,S,4610.0
2020-10-28,S,5264.0
2020-10-28,S,4362.0
2020-10-28,S,3501.0
2020-10-28,S,3774.0
2020-10-28,S,1325.0
2020-10-28,S,1500.0
2020-10-29,S,2523.0
2020-10-29,S,4303.0
2020-10-29,S,2350.0
2020-10-29,S,650.0
2020-10-29,S,400.0
2020-10-29,S,400.0
2020-10-29,S,700.0
2020-10-29,S,200.0
2020-10-29,S,400.0
2020-10-29,S,300.0
2020-10-29,S,400.0
2020-10-29,S,300.0
2020-10-29,S,200.0
2020-10-29,S,300.0
2020-10-29,S,700.0
2020-10-29,D,400.0
2020-10-29,C,70142.0
2020-10-29,S,4633.0
2020-10-29,S,7657.0
2020-10-29,S,8615.0
2020-10-29,S,9910.0
2020-10-29,S,5985.0
2020-10-29,S,3022.0
2020-10-29,S,3723.0
2020-10-29,S,3985.0
2020-10-29,S,2649.0
2020-10-29,S,4134.0
2020-10-29,S,1303.0
2020-12-28,C,140.0
2020-12-28,G,140.0
2020-12-29,C,266666.0
2020-12-29,G,266666.0
2020-12-23,C,647046.0
2020-12-23,C,8019.0
2020-12-23,C,1881644.0
2020-12-23,C,122449.0
2020-12-23,C,19452.0
2020-12-22,C,597300.0
2020-12-22,C,4902700.0
2020-12-18,M,236.0
2020-12-18,M,236.0
2020-10-16,S,7500.0
2020-12-16,C,177285.0
2020-12-16,S,600.0
2020-12-16,S,1000.0
2020-12-16,S,1100.0
2020-12-16,S,3592.0
2020-12-16,S,6754.0
2020-12-16,S,3827.0
2020-12-16,S,2937.0
2020-12-16,S,4101.0
2020-12-16,S,14239.0
2020-12-16,S,15659.0
2020-12-16,S,12569.0
2020-12-16,S,2500.0
2020-12-16,S,1264.0
2020-12-16,G,107143.0
2020-12-17,C,70142.0
2020-12-17,S,8606.0
2020-12-17,S,10201.0
2020-12-17,S,18723.0
2020-12-17,S,25613.0
2020-12-17,S,3424.0
2020-12-17,S,836.0
2020-12-17,S,2139.0
2020-12-17,S,600.0
2020-12-15,S,1902.0
2020-12-15,S,1400.0
2020-12-15,S,1648.0
2020-12-15,S,900.0
2020-12-15,S,400.0
2020-12-15,S,200.0
2020-12-15,S,300.0
2020-12-15,S,350.0
2020-12-15,S,500.0
2020-12-15,S,700.0
2020-12-15,S,300.0
2020-12-15,S,100.0
2020-12-15,S,100.0
2020-12-15,C,10000.0
2020-12-15,S,1200.0
2020-10-12,C,9375.0
2020-10-12,S,700.0
2020-10-12,S,900.0
2020-10-12,S,877.0
2020-10-12,S,1197.0
2020-10-12,S,800.0
2020-10-12,S,1154.0
2020-10-12,S,704.0
2020-10-12,S,2041.0
